"","subject","condition","trial_no","cresp","reward","trials_since_reversal","reversal_event","win_if_choose_a","win_if_choose_b","true_eta_pre","true_eta_post","true_delta_eta","true_beta","ptresp","pt_QA","pt_QB","pr_choose_a","outcome"
"1",1,"pre",1,1,0,0,0,1,1,0.287577523203977,0.0489437292488619,-1.09470697892051,10.0459912946678,0,0.5,0.5,0.5,1
"2",1,"pre",2,1,0,1,0,1,0,0.287577523203977,0.0489437292488619,-1.09470697892051,10.0459912946678,0,0.643788761601989,0.5,0.809150635085441,1
"3",1,"pre",3,1,0,2,0,0,1,0.287577523203977,0.0489437292488619,-1.09470697892051,10.0459912946678,0,0.74622710727791,0.5,0.922269902298585,0
"4",1,"pre",4,1,0,3,0,1,1,0.287577523203977,0.0489437292488619,-1.09470697892051,10.0459912946678,1,0.53162896401926,0.5,0.578774421941076,1
"5",1,"pre",5,1,0,4,0,0,0,0.287577523203977,0.0489437292488619,-1.09470697892051,10.0459912946678,1,0.53162896401926,0.643788761601989,0.244760201638725,0
"6",1,"pre",6,1,0,5,0,0,1,0.287577523203977,0.0489437292488619,-1.09470697892051,10.0459912946678,1,0.53162896401926,0.458649584073933,0.675496184677483,1
"7",1,"pre",7,1,0,6,0,0,0,0.287577523203977,0.0489437292488619,-1.09470697892051,10.0459912946678,1,0.53162896401926,0.614329795871394,0.303473438912455,0
"8",1,"pre",8,1,0,7,0,0,1,0.287577523203977,0.0489437292488619,-1.09470697892051,10.0459912946678,1,0.53162896401926,0.437662354744294,0.719904457834244,1
"9",1,"pre",9,0,0,0,1,1,0,0.287577523203977,0.0489437292488619,-1.09470697892051,10.0459912946678,0,0.53162896401926,0.599378021971287,0.336125963483941,1
"10",1,"pre",10,0,0,1,0,0,0,0.287577523203977,0.0489437292488619,-1.09470697892051,10.0459912946678,1,0.666321946487082,0.599378021971287,0.662066770588058,0
"11",1,"pre",11,0,0,2,0,0,0,0.287577523203977,0.0489437292488619,-1.09470697892051,10.0459912946678,0,0.666321946487082,0.427010374949885,0.917141084329708,0
"12",1,"pre",12,0,0,3,0,1,0,0.287577523203977,0.0489437292488619,-1.09470697892051,10.0459912946678,0,0.474702731459874,0.427010374949885,0.617539345113556,1
"13",1,"pre",13,0,0,4,0,1,1,0.287577523203977,0.0489437292488619,-1.09470697892051,10.0459912946678,0,0.625766418892458,0.427010374949885,0.880450320057778,1
"14",1,"pre",14,0,0,5,0,0,0,0.287577523203977,0.0489437292488619,-1.09470697892051,10.0459912946678,0,0.73338758524712,0.427010374949885,0.955970314652563,0
"15",1,"pre",15,0,0,6,0,1,0,0.287577523203977,0.0489437292488619,-1.09470697892051,10.0459912946678,0,0.522481799933207,0.427010374949885,0.722942596319812,1
"16",1,"pre",16,0,0,7,0,1,0,0.287577523203977,0.0489437292488619,-1.09470697892051,10.0459912946678,0,0.659805301193237,0.427010374949885,0.912028296312231,1
"17",1,"pre",17,0,0,8,0,1,0,0.287577523203977,0.0489437292488619,-1.09470697892051,10.0459912946678,0,0.757637650083209,0.427010374949885,0.965158351911656,1
"18",1,"pre",18,0,0,9,0,1,0,0.287577523203977,0.0489437292488619,-1.09470697892051,10.0459912946678,0,0.827335614390175,0.427010374949885,0.982392463590358,1
"19",1,"pre",19,0,0,10,0,1,0,0.287577523203977,0.0489437292488619,-1.09470697892051,10.0459912946678,0,0.876990010749385,0.427010374949885,0.989233506015023,1
"20",1,"pre",20,0,0,11,0,0,0,0.287577523203977,0.0489437292488619,-1.09470697892051,10.0459912946678,0,0.912364918787425,0.427010374949885,0.992429279562845,0
"21",1,"pre",21,0,0,12,0,0,0,0.287577523203977,0.0489437292488619,-1.09470697892051,10.0459912946678,1,0.649989275184339,0.427010374949885,0.903788292260691,0
"22",1,"pre",22,0,0,13,0,1,0,0.287577523203977,0.0489437292488619,-1.09470697892051,10.0459912946678,0,0.649989275184339,0.304211788939395,0.969929466546148,1
"23",1,"pre",23,0,0,14,0,0,0,0.287577523203977,0.0489437292488619,-1.09470697892051,10.0459912946678,0,0.750644492521656,0.304211788939395,0.988847308310726,0
